"stage2/step","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_cauchy - stage2/mcc_pearson","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"18251","0","0","0","28516","28516","28516","0.22787248695809378","0.1334550777185584","0.38083060478095204","38516.2","38515","38517","0.5794698090545686","0.45705495936319035","0.6853643106872369","38516.2","38515","38517"
"18501","0","0","0","28769","28769","28769","0.17679198624142786","0.12262001558856539","0.24333699688277996","38769.2","38768","38770","0.5664679219007653","0.329996885624681","0.7280851895145546","38769.2","38768","38770"
"18751","0","0","0","29022","29022","29022","0.21376110190038689","0.12619417499773183","0.35303613304511083","39022.2","39021","39023","0.530954529127268","0.4720579788128244","0.6279265461459406","39022.2","39021","39023"
"19001","0","0","0","29275","29275","29275","0.22791190244084697","0.10716977389157516","0.3309318669393334","39275.2","39274","39276","0.5550877385371744","0.2754137028640387","0.6931560254233259","39275.2","39274","39276"
"19251","0","0","0","29528","29528","29528","0.23154707616296374","0.10367186349919115","0.34405550582201083","39528.2","39527","39529","0.5081285697839963","0.226659754142731","0.6991846778532829","39528.2","39527","39529"
"19501","0","0","0","29781","29781","29781","0.21870537178566404","0.10567937768919064","0.40375229482319586","39781.2","39780","39782","0.5844614993404409","0.40058700605558667","0.7750945539798182","39781.2","39780","39782"
"19751","0","0","0","30034","30034","30034","0.24096444301593684","0.12245191583807398","0.38668740306323734","40034.2","40033","40035","0.549471745885381","0.3806193056769619","0.712280815487013","40034.2","40033","40035"
"20001","0","0","0","30287","30287","30287","0.2436367138840005","0.17704092187530907","0.3010840246340494","40287.2","40286","40288","0.5509087458645081","0.48733943395301527","0.6268104768811116","40287.2","40286","40288"
"20251","0","0","0","30540","30540","30540","0.24073021058743826","0.10242771058765329","0.3503338932544563","40540.2","40539","40541","0.5548576669581139","0.352509816727033","0.7494028343588888","40540.2","40539","40541"
"20501","0","0","0","30793","30793","30793","0.2488078304481634","0.19343470123462744","0.3134701458862171","40793.2","40792","40794","0.528111418759911","0.24939521226486194","0.7507963187783275","40793.2","40792","40794"
"20751","0","0","0","31046","31046","31046","0.25087675351179967","0.11135974012070379","0.442791019243909","41046.2","41045","41047","0.5076959959242769","0.3005157766337268","0.7231319693122014","41046.2","41045","41047"
