"stage2/step","Group: VaDE_Simple_gumbel - stage2/mcc_spearman","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Simple_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Ours_Simple_gumbel - stage2/mcc_spearman","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Simple_gumbel - _step","Group: Ours_Simple_gumbel - _step__MIN","Group: Ours_Simple_gumbel - _step__MAX"
"12751","0.5145933543105207","0.34880154179314005","0.618380358629515","22950","22950","22950","0.578386062158234","0.10900909880686029","0.7656064168564082","32951","32951","32951","0.7958584141199907","0.7060285775802227","0.8160716951395969","32951","32951","32951"
"13001","0.4816588737325044","0.27302861134616474","0.570703346344753","23203","23203","23203","0.5857546665073595","0.12989743244712046","0.7678914333005701","33204","33204","33204","0.7959760451249857","0.7060669502140279","0.8153435523251232","33204","33204","33204"
"13251","0.4860538786140795","0.3151684729085282","0.6436477608310901","23456","23456","23456","0.5910963289829475","0.1301757459358184","0.772777837587794","33457","33457","33457","0.7950365982720777","0.7059827624220042","0.8154784962632982","33457","33457","33457"
"13501","0.49057224129971555","0.4009196171700758","0.6028069345191948","23709","23709","23709","0.5960223075159796","0.1467715863261012","0.7692120524874384","33710","33710","33710","0.7954921397683423","0.7096392604120485","0.814644125787948","33710","33710","33710"
"13751","0.48609258938940403","0.39039109377873443","0.5761370934202908","23962","23962","23962","0.5962154829931092","0.13223046747493725","0.7680483343524048","33963","33963","33963","0.7955502944463689","0.7105517503630897","0.816195128840104","33963","33963","33963"
"14001","0.4917179967677293","0.3155327289025212","0.6490707235624154","24215","24215","24215","0.60260942296139","0.16117814409638806","0.7725683763915665","34216","34216","34216","0.7953673196029877","0.7101929227069084","0.8135255582288914","34216","34216","34216"
"14251","0.5105129282587934","0.42177037667703604","0.6208555217032944","24468","24468","24468","0.6046371708042937","0.164415707864392","0.7676841249390285","34469","34469","34469","0.7950432348420797","0.7083363225929897","0.8165595904976478","34469","34469","34469"
"14501","0.4602826956767162","0.24123256589911957","0.6125453899795071","24721","24721","24721","0.6100558050073062","0.17646599551564515","0.7738832802191721","34722","34722","34722","0.7952101469558646","0.7099706863106391","0.8158262417080021","34722","34722","34722"
"14751","0.5187890199835345","0.41388207250306025","0.6399293829557525","24974","24974","24974","0.6123850534607211","0.16899336136746926","0.772886941100212","34975","34975","34975","0.7959970552252016","0.710522772055922","0.8166633139758127","34975","34975","34975"
"15001","0.5088127970958598","0.3518721438731003","0.6601511976315795","25227","25227","25227","0.6174179627072833","0.1915561790313652","0.7753823516398578","35228","35228","35228","0.7955445573324023","0.7128045866400852","0.8141975083286824","35228","35228","35228"
"15251","0.5012810751161222","0.38954369444854714","0.6502332433559487","25480","25480","25480","0.619988077302511","0.17574772652683213","0.7756357506221923","35481","35481","35481","0.7967495544257943","0.7128568716092448","0.8162573131659282","35481","35481","35481"
"15501","0.5011833660361719","0.3575859655361624","0.6523998229235051","25733","25733","25733","0.628269864681464","0.21607220207427988","0.7758408752541306","35734","35734","35734","0.7961134241393473","0.7146395051151568","0.8144662710841161","35734","35734","35734"
"15751","0.5128792211744259","0.38562750129310736","0.6426161728364352","25986","25986","25986","0.6318414975107123","0.20939508113052005","0.7704908957698661","35987","35987","35987","0.7958865413040368","0.7151174198047761","0.8164112144962047","35987","35987","35987"
"16001","0.5072398500171463","0.3626630683068039","0.6177772688445854","26239","26239","26239","0.637983729742894","0.213944950846533","0.7756240318400058","36240","36240","36240","0.7960807298917326","0.71537374298356","0.8153457334286202","36240","36240","36240"
"16251","0.4853438878846352","0.35468518384428727","0.6053620159773428","26492","26492","26492","0.6463830013307363","0.21856443875237627","0.7747843280470416","36493","36493","36493","0.7959053651932135","0.7171878877403981","0.8142693142834164","36493","36493","36493"
"16501","0.4521226225953449","0.3391639486370414","0.5941767456002888","26745","26745","26745","0.6506531502343111","0.22650502970785205","0.753992740888842","36746","36746","36746","0.796009827611679","0.7171341747850072","0.8157159514636622","36746","36746","36746"
"16751","0.5472906991461903","0.4444473288317912","0.6306993044535422","26998","26998","26998","0.6573044494705559","0.22110148738514343","0.7540791952717004","36999","36999","36999","0.7960722717023329","0.7163991315958018","0.8156495196711582","36999","36999","36999"
"17001","0.4645508580746524","0.3664754919433282","0.6522441026553286","27251","27251","27251","0.6629085890679429","0.23638231484598102","0.754042029018407","37252","37252","37252","0.796929220180808","0.7192355655994026","0.8165721185081596","37252","37252","37252"
"17251","0.48898593572838334","0.3571481578369469","0.6046392286920148","27504","27504","27504","0.6721440423667508","0.26303403086017035","0.7572262416800432","37505","37505","37505","0.7964217277698958","0.7200756917375063","0.8163412833611212","37505","37505","37505"
"17501","0.46991426109234685","0.32881541603221437","0.709403029144258","27757","27757","27757","0.6774516968273043","0.2791164343826985","0.7616446937056986","37758","37758","37758","0.7970784016391009","0.7212313884802893","0.8162221606090326","37758","37758","37758"
"17751","0.4945858781045277","0.3649323327542546","0.6035684921482986","28010","28010","28010","0.6856191917237014","0.31052802573636745","0.7650514271855737","38011","38011","38011","0.7968261911982795","0.724385903745597","0.8151690931217467","38011","38011","38011"
"18001","0.4826097273093547","0.28137586388744723","0.5671206986598459","28263","28263","28263","0.6910652068372167","0.34345135915926317","0.7656444693315255","38264","38264","38264","0.7964531057239411","0.7245325655152056","0.8143245872292795","38264","38264","38264"
"18251","0.5212675215090006","0.37150462586490046","0.7417008979185242","28516","28516","28516","0.6938586681412426","0.3392195895076444","0.7702581496781057","38517","38517","38517","0.7975071012396897","0.7274611540383805","0.8142049423634363","38517","38517","38517"
"18501","0.4632000080649874","0.36014742931527577","0.664602038482265","28769","28769","28769","0.6985888666645563","0.37014005784569526","0.76954071585348","38770","38770","38770","0.7981065945279397","0.7270964757555244","0.8166915528847172","38770","38770","38770"
