"stage2/step","Group: Danru_Complicate_cauchy - stage2/mcc_spearman","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Complicate_cauchy - _step","Group: Danru_Complicate_cauchy - _step__MIN","Group: Danru_Complicate_cauchy - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Danru_Simple_gumbel - stage2/mcc_spearman","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Simple_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Simple_gumbel - _step","Group: Danru_Simple_gumbel - _step__MIN","Group: Danru_Simple_gumbel - _step__MAX","Group: Danru_Simple_gauss - stage2/mcc_spearman","Group: Danru_Simple_gauss - stage2/mcc_spearman__MIN","Group: Danru_Simple_gauss - stage2/mcc_spearman__MAX","Group: Danru_Simple_gauss - _step","Group: Danru_Simple_gauss - _step__MIN","Group: Danru_Simple_gauss - _step__MAX"
"7501","0.2489492022674999","0.17595296127399995","0.3087779352409085","27637.2","27636","27638","0.3930546279092851","0.3020351412336669","0.5581908331014898","27637.4","27636","27638","0.45197408635590125","0.24343051602986718","0.521457879813277","27637.4","27636","27638","0.37347029606020843","0.27569350832440037","0.5319039549269109","27638","27638","27638","0.4953616291672446","0.0990502132517226","0.7247491628743417","27638","27638","27638","0.52561047498504","0.054383991898977246","0.7710171835752565","27638","27638","27638"
"7751","0.24947211925795099","0.18096637046171998","0.29382454367541","27890.2","27889","27891","0.3919183204976262","0.2820624310951053","0.5590766057951821","27890.4","27889","27891","0.4384829499022807","0.24396430724300905","0.5250856202898595","27890.4","27889","27891","0.4201247724155007","0.27319774428949684","0.6131227210155266","27891","27891","27891","0.49616317230232354","0.10009690031970464","0.7216007898974679","27891","27891","27891","0.5255619770051437","0.06850434200408427","0.773214304237813","27891","27891","27891"
"8001","0.24568826496781532","0.1872547858801097","0.32180610984665414","28143.2","28142","28144","0.38266129633529683","0.2929344364018499","0.48833750807509635","28143.4","28142","28144","0.4485987515184361","0.25097422111601697","0.5223058569866013","28143.4","28142","28144","0.4438585636687071","0.3022948339188125","0.5530202711617119","28144","28144","28144","0.49644102354073294","0.08593806535852022","0.7224160740431441","28144","28144","28144","0.536846537386072","0.06500033008413957","0.7673718358308154","28144","28144","28144"
"8251","0.2451177708539281","0.18169923752487366","0.2875106317268654","28396.2","28395","28397","0.38303388073599365","0.28206799747230626","0.5100715856011572","28396.4","28395","28397","0.45570371801674314","0.24201391696679425","0.5262070269517581","28396.4","28395","28397","0.4399229121833336","0.254499773426235","0.5432781713269303","28397","28397","28397","0.49828414111374625","0.09436064725732896","0.7256147940203378","28397","28397","28397","0.529969313251971","0.061189937939953816","0.754392244835511","28397","28397","28397"
"8501","0.2489363096259868","0.17984191517845588","0.3238090686459419","28649.2","28648","28650","0.38134429088405647","0.27487908790595217","0.526964005993038","28649.4","28648","28650","0.45690362490137276","0.24974264007119595","0.5164994331906692","28649.4","28648","28650","0.42610186047976606","0.2610529661368884","0.5473298732543666","28650","28650","28650","0.49559042541356924","0.08689846628945853","0.7196140283300853","28650","28650","28650","0.5305916526245686","0.05809748521428279","0.7663091943212009","28650","28650","28650"
"8751","0.24586168738003242","0.17101605350698953","0.30127067743667363","28902.2","28901","28903","0.38523220588174756","0.2619953019287421","0.5487948509282836","28902.4","28901","28903","0.46176894915152733","0.24282397889117782","0.5115726117858599","28902.4","28901","28903","0.42503632561076354","0.23017769562819165","0.5906251426492654","28903","28903","28903","0.4999345242687171","0.11044807307141179","0.7196749279179643","28903","28903","28903","0.5346663412991127","0.0824913850408009","0.7594594256369976","28903","28903","28903"
"9001","0.23615691168907427","0.1818423656846305","0.29164180479297197","29155.2","29154","29156","0.39123957939870346","0.27521375522625374","0.5595184953605602","29155.4","29154","29156","0.4715281358578779","0.24629233127864683","0.5164457341233991","29155.4","29154","29156","0.4491926795640702","0.23938552643133829","0.6195719699011281","29156","29156","29156","0.5035751751289939","0.09185119456487371","0.7174179432604374","29156","29156","29156","0.5313115528192252","0.06947743246718983","0.7728660233660403","29156","29156","29156"
"9251","0.24448297265407212","0.17500926491963628","0.32449672511544336","29408.2","29407","29409","0.3925742508774689","0.28349445664139783","0.5662067811045034","29408.4","29407","29409","0.47608855376207393","0.2441565572241557","0.5281326866758428","29408.4","29407","29409","0.45831574358369354","0.2525760009940817","0.6224130182636923","29409","29409","29409","0.5044171328699091","0.09343099603028593","0.7178872278324645","29409","29409","29409","0.538786587326173","0.08522408397724202","0.7752223930787215","29409","29409","29409"
"9501","0.2356948628777785","0.18510951752033036","0.28684613198495057","29661.2","29660","29662","0.3988121494665016","0.2830526286241149","0.5783044373756521","29661.4","29660","29662","0.4825656847779821","0.24927387862572745","0.5293836368154048","29661.4","29660","29662","0.43362936332408414","0.2750274258993905","0.5599930938800216","29662","29662","29662","0.5076648727407481","0.11331341516402782","0.7310191502834525","29662","29662","29662","0.539381924957899","0.08580123173992162","0.7623092250577947","29662","29662","29662"
"9751","0.22812768072460154","0.17463228775005568","0.3110714408337164","29914.2","29913","29915","0.40975939188742244","0.29355418804290684","0.6021411186628919","29914.4","29913","29915","0.48678295550715783","0.25931785598793383","0.5327531062429983","29914.4","29913","29915","0.4195843186256239","0.242921077597408","0.5563415537945319","29915","29915","29915","0.5086732934163473","0.09361494893387957","0.7314950432612646","29915","29915","29915","0.5449966349140237","0.10702369941672346","0.7694107942707805","29915","29915","29915"
