"stage2/step","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_BN_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_BN_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"13751","0.5733492218046948","0.45656907005021835","0.651172735467391","33963","33963","33963","0.23534365222614378","0.16999067026434173","0.3075830708341133","33962.2","33961","33963","0.6855575477851941","0.596820288577853","0.7614699568495903","33963","33963","33963","0.5061048407801583","0.44704360067324495","0.584428250332571","33962.2","33961","33963"
"14001","0.5766319359537525","0.4733171798759976","0.6420418803909853","34216","34216","34216","0.23943833566970865","0.18968672822081256","0.3066425344116301","34215.2","34214","34216","0.6862925298812982","0.5992227257077829","0.7616262303398678","34216","34216","34216","0.5051774243276395","0.44238059557062775","0.5981001674936073","34215.2","34214","34216"
"14251","0.5730758028928111","0.45956203853002126","0.6458660393214356","34469","34469","34469","0.23615097056522244","0.17392553827377968","0.29669882295022115","34468.2","34467","34469","0.6865239342845036","0.6014462042048082","0.7616565832362804","34469","34469","34469","0.5086972721447995","0.4446140780474546","0.5976134948651712","34468.2","34467","34469"
"14501","0.573059593415401","0.4705568497332375","0.6434274981285885","34722","34722","34722","0.23292848940577585","0.18102584659403845","0.320633585673876","34721.2","34720","34722","0.6859922481556924","0.6027156095226055","0.759085480806303","34722","34722","34722","0.5092250516393573","0.4432660563521658","0.5978042239179953","34721.2","34720","34722"
"14751","0.5748989278952827","0.48001352441742845","0.6512099671783446","34975","34975","34975","0.23414547986068537","0.16760674157822092","0.3035841531435846","34974.2","34973","34975","0.6882770600273932","0.6081106931717507","0.7632376101900357","34975","34975","34975","0.507836741382319","0.44043717001723887","0.5936420081392748","34974.2","34973","34975"
"15001","0.5736549249616163","0.4595544080359281","0.6369984241994748","35228","35228","35228","0.23426876361418086","0.1938320771380475","0.3207320405858563","35227.2","35226","35228","0.6896023082303793","0.6151047905516954","0.7573157667818732","35228","35228","35228","0.5017606063725152","0.440078423734141","0.5922577345917388","35227.2","35226","35228"
"15251","0.5857874128848684","0.521769572700291","0.6441908036321625","35481","35481","35481","0.23774493951650202","0.1914673264894135","0.33408093469508854","35480.2","35479","35481","0.6903646135508762","0.6160309998417867","0.7641285823118258","35481","35481","35481","0.49879395526014847","0.4387941062227124","0.5964102126851224","35480.2","35479","35481"
"15501","0.5718094886054395","0.4486645543764943","0.6493316810067488","35734","35734","35734","0.23542559742520833","0.19262325420359877","0.3134906070805889","35733.2","35732","35734","0.6905706984278106","0.6176849346590401","0.759399060816288","35734","35734","35734","0.5002542157312335","0.438800840407937","0.5882589096285511","35733.2","35732","35734"
"15751","0.5788898769449693","0.4644148765779958","0.654650205889698","35987","35987","35987","0.24276189044799343","0.20105442797630638","0.33327350401313016","35986.2","35985","35987","0.6909717213735427","0.6231511956791713","0.7583674676966446","35987","35987","35987","0.5039816913496378","0.4402000054357715","0.6012133623742895","35986.2","35985","35987"
"16001","0.5785856594737788","0.4689358645557915","0.6469492283892176","36240","36240","36240","0.23808759712100755","0.18910799882464505","0.34277906372554146","36239.2","36238","36240","0.6897550521463283","0.6299046912160483","0.7604977201906858","36240","36240","36240","0.5030590768981978","0.44628222952184177","0.5999194818217763","36239.2","36238","36240"
