"stage2/step","Group: VaDE_Simple_cauchy - stage2/mcc_spearman","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: VaDE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX","Group: Danru_Simple_cauchy - stage2/mcc_spearman","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Danru_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Danru_Simple_cauchy - _step","Group: Danru_Simple_cauchy - _step__MIN","Group: Danru_Simple_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX"
"12001","0.052166012909490064","0","0.5216601290949007","22191","22191","22191","0.4324292550767802","0.2783845402060519","0.5497267001801612","32192","32192","32192","0.6843591658130382","0.5746245305162846","0.7636730763950959","32192","32192","32192"
"12251","0.04730416036135225","0","0.47304160361352254","22444","22444","22444","0.4599168308778469","0.2655419000449475","0.5470153293286849","32445","32445","32445","0.6816427037278527","0.5800282709408336","0.7595053006416442","32445","32445","32445"
"12501","0","0","0","22697","22697","22697","0.42490763578869817","0.2667597119815523","0.5752760830446352","32698","32698","32698","0.6833436987517684","0.5818071242977406","0.7570619980486505","32698","32698","32698"
"12751","0","0","0","22950","22950","22950","0.4379199245139708","0.2686376173151556","0.5860892215368471","32951","32951","32951","0.6831565381873851","0.5851293842516415","0.7591564827471674","32951","32951","32951"
"13001","0","0","0","23203","23203","23203","0.4329087817251123","0.23068104757887364","0.581678480719571","33204","33204","33204","0.6837203191626031","0.5878555293202283","0.7598672400580361","33204","33204","33204"
"13251","0","0","0","23456","23456","23456","0.4135783969508","0.20941911957560433","0.5741471344126988","33457","33457","33457","0.6827758597175062","0.590810335012708","0.7594150339562128","33457","33457","33457"
"13501","0","0","0","23709","23709","23709","0.4391514456560497","0.3061049102350197","0.5476098010167524","33710","33710","33710","0.683850760364902","0.5947585363207942","0.7583700381235166","33710","33710","33710"
"13751","0","0","0","23962","23962","23962","0.42239626911498007","0.23525848818349485","0.5539886477170348","33963","33963","33963","0.6855575477851941","0.596820288577853","0.7614699568495903","33963","33963","33963"
"14001","0","0","0","24215","24215","24215","0.42429254995281634","0.2845873893554019","0.5547117723081577","34216","34216","34216","0.6862925298812982","0.5992227257077829","0.7616262303398678","34216","34216","34216"
"14251","0","0","0","24468","24468","24468","0.4061418918703025","0.2638183962046458","0.5665705699318181","34469","34469","34469","0.6865239342845036","0.6014462042048082","0.7616565832362804","34469","34469","34469"
