"stage2/step","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_BN_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_BN_Simple_cauchy - _step","Group: Ours_BN_Simple_cauchy - _step__MIN","Group: Ours_BN_Simple_cauchy - _step__MAX","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_BN_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_BN_Complicate_cauchy - _step","Group: Ours_BN_Complicate_cauchy - _step__MIN","Group: Ours_BN_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_pearson","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Simple_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_pearson","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_pearson__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"15251","0.5374132860643128","0.37996893886848765","0.6411992947570554","35481","35481","35481","0.1097587046212463","0.049947737415918944","0.21683558384753895","35480.2","35479","35481","0.7626179540611815","0.6451666082211849","0.9219225976479462","35481","35481","35481","0.5684445151802623","0.46919908620813944","0.7224465295411583","35480.2","35479","35481"
"15501","0.5134312674075096","0.3596417681423458","0.7073735997309742","35734","35734","35734","0.14431975443474868","0.049972274264729145","0.27469565966564663","35733.2","35732","35734","0.7368118327890344","0.4320450364505888","0.9131691444741931","35734","35734","35734","0.4951775399224007","0.30586996385635745","0.6724740583670303","35733.2","35732","35734"
"15751","0.5265751420098546","0.3422556975203868","0.7357859156109648","35987","35987","35987","0.17796450460668273","0.05814714179652667","0.31771217350877884","35986.2","35985","35987","0.688988798370314","0.38892336382890086","0.8942451495860403","35987","35987","35987","0.504716895994908","0.362130577265926","0.5925727222325797","35986.2","35985","35987"
"16001","0.5290612540165022","0.3480148817782443","0.7234342781806248","36240","36240","36240","0.11091819048306392","0.04989134082756004","0.1853092412599317","36239.2","36238","36240","0.7330757591547681","0.4616026753872957","0.9221075729374073","36240","36240","36240","0.5641985431893406","0.37310943405693636","0.7487845699196988","36239.2","36238","36240"
"16251","0.5489086551847907","0.33044460786994756","0.9569305897094756","36493","36493","36493","0.14862905113357755","0.07042052537003832","0.34670135395811597","36492.2","36491","36493","0.7808532232168549","0.6914834811867322","0.9239436566239291","36493","36493","36493","0.5587544176898168","0.3458227934603808","0.6686621010379218","36492.2","36491","36493"
"16501","0.5123269793783459","0.34591149814631034","0.7514480766866048","36746","36746","36746","0.1543735549746449","0.0486030016528195","0.2830551044304472","36745.2","36744","36746","0.7343462284371318","0.5931327494961741","0.9037202104836718","36746","36746","36746","0.5063191353639158","0.33141613559781713","0.6187846124707502","36745.2","36744","36746"
"16751","0.5390404325061782","0.36272758144166267","0.7034377363930632","36999","36999","36999","0.15573903931930383","0.06209386192069499","0.2710229747436327","36998.2","36997","36999","0.7055419801901353","0.3811347938943946","0.9773283223673834","36999","36999","36999","0.5241434963154303","0.35609659677122985","0.69785637328302","36998.2","36997","36999"
"17001","0.5027607741491458","0.3698191999222585","0.7000465513789832","37252","37252","37252","0.11535907773247274","0.07049689649612205","0.19215551164774256","37251.2","37250","37252","0.6538649567511271","0.4480335491283247","0.964769453985553","37252","37252","37252","0.5336501230462412","0.3404735495142913","0.6952805726288371","37251.2","37250","37252"
"17251","0.5153782457573428","0.3893119062926494","0.6496516566111757","37505","37505","37505","0.13892694030452496","0.061941920353864435","0.2646784660491661","37504.2","37503","37505","0.7714878462905","0.47733185900088665","0.9528869479004823","37505","37505","37505","0.5424952598452516","0.3051404162512551","0.7160798578504084","37504.2","37503","37505"
"17501","0.5431594501024288","0.4065970315163292","0.747470625660679","37758","37758","37758","0.12498741712807326","0.05429605612323225","0.3133809778147374","37757.2","37756","37758","0.7631291092487794","0.5901970419848417","0.9182895922797001","37758","37758","37758","0.49436914917415764","0.2591640705421797","0.7363216574025457","37757.2","37756","37758"
