"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_spearman","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_spearman","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"11501","0.2832745527564492","0.24841039248511784","0.3336592354498978","21685","21685","21685","0.44916289033005025","0.31306496673328765","0.5547918452818247","31685.4","31684","31686","0.7342813474426098","0.5927034639742544","0.8227508598159549","31685.2","31684","31686"
"11751","0.28346208135419637","0.2579268028287882","0.3165498999747958","21938","21938","21938","0.45763758697118506","0.32731863667621497","0.56081651265377","31938.4","31937","31939","0.737409557885487","0.5966489587865302","0.8234844480684528","31938.2","31937","31939"
"12001","0.2774957164173629","0.24621489124960189","0.31560840197270257","22191","22191","22191","0.4635178995981236","0.33314220704865105","0.5693277316680438","32191.4","32190","32192","0.7395869356517573","0.6000543016647288","0.8153789542071295","32191.2","32190","32192"
"12251","0.2668319125334414","0.20520319562132613","0.32626044997537695","22444","22444","22444","0.475158155407909","0.3422831069921729","0.5723343375957145","32444.4","32443","32445","0.7417925726144027","0.5984876893293005","0.8231298795327696","32444.2","32443","32445"
"12501","0.26089034322123156","0.21312281224621316","0.29269920541790084","22697","22697","22697","0.48223993700471157","0.3421774609689515","0.578720852818511","32697.4","32696","32698","0.7418053655623855","0.5966893096900459","0.8268333623549606","32697.2","32696","32698"
"12751","0.26958491751887453","0.23771994873620592","0.32639734181890045","22950","22950","22950","0.4892565471972386","0.33803789665722866","0.5992325787003552","32950.4","32949","32951","0.7454488834583601","0.5985562840450431","0.8292588797334653","32950.2","32949","32951"
"13001","0.25829210142294035","0.20314484607374989","0.3463787849520438","23203","23203","23203","0.49531468705589443","0.3520196739445815","0.5975056482847607","33203.4","33202","33204","0.748986260091527","0.60196253741103","0.8287782647970273","33203.2","33202","33204"
"13251","0.26028805446031533","0.2291206330968051","0.2971273073823194","23456","23456","23456","0.505293498090474","0.3615572956602917","0.605240614228735","33456.4","33455","33457","0.751436308719071","0.608641725908277","0.8244528184029793","33456.2","33455","33457"
"13501","0.26728342650498943","0.23343131342113752","0.324700645419086","23709","23709","23709","0.5091165329597622","0.3625097936459741","0.6024845226588995","33709.4","33708","33710","0.7523680630612121","0.6046670700095994","0.8296671120651995","33709.2","33708","33710"
"13751","0.256227276449388","0.2049945543840675","0.31869830343935324","23962","23962","23962","0.5113882005876543","0.37305980721045495","0.6134107085788039","33962.4","33961","33963","0.7523223123716509","0.6109837414393328","0.8306309660266153","33962.2","33961","33963"
"14001","0.2632561406635244","0.22306201850853347","0.3453880737296748","24215","24215","24215","0.5116424521099419","0.3755357076487558","0.6127421911638715","34215.4","34214","34216","0.7552889464015998","0.604727649397968","0.8289213663800343","34215.2","34214","34216"
"14251","0.26565268136039444","0.2239908683587918","0.3542525894506122","24468","24468","24468","0.5166052915438811","0.39171845624904844","0.6287964769145219","34468.4","34467","34469","0.7585747057984893","0.6131159975516998","0.8281433807464331","34468.2","34467","34469"
"14501","0.25847350562087823","0.2313252791904093","0.30231521333157185","24721","24721","24721","0.5117914494682207","0.39347983977575696","0.5610519015011631","34721.4","34720","34722","0.7600261089922282","0.6091142536451897","0.8313952193447092","34721.2","34720","34722"
"14751","0.2526612632455689","0.21942405507187326","0.3134175942326973","24974","24974","24974","0.5151945399769493","0.4076421658238045","0.564141911299013","34974.4","34973","34975","0.7611810411427565","0.6060106442806241","0.833513443479994","34974.2","34973","34975"
"15001","0.25678329288408547","0.2085840081965642","0.28259555038407763","25227","25227","25227","0.521802145830171","0.4169758779603777","0.5695724023966461","35227.4","35226","35228","0.7644214165782155","0.6115671884317624","0.8316366262054615","35227.2","35226","35228"
"15251","0.231899317991542","0.1878621452530666","0.2660410425999109","25480","25480","25480","0.5287198119297497","0.4390117627768208","0.5751249446953148","35480.4","35479","35481","0.766435759858848","0.6155567938083151","0.832934665518402","35480.2","35479","35481"
"15501","0.23962097782501607","0.20537352309246776","0.2733339669692738","25733","25733","25733","0.5321597113629131","0.45837273259743566","0.5796391969541725","35733.4","35732","35734","0.7670383642562598","0.6149392671323375","0.8354417854018414","35733.2","35732","35734"
"15751","0.23831082425192446","0.18970866573797623","0.27215456463203697","25986","25986","25986","0.5368969593194101","0.47720862974332406","0.5830827852180339","35986.4","35985","35987","0.7688676341856606","0.6125596309739867","0.8333668033983527","35986.2","35985","35987"
"16001","0.22234373298635107","0.16692085320749037","0.2716717999344304","26239","26239","26239","0.5423793814724299","0.4870142869292208","0.5878884323923995","36239.4","36238","36240","0.7698190794306241","0.6142111567373837","0.8380474428148046","36239.2","36238","36240"
