"stage1/step","Group: VaDE_Complicate_gauss - stage1/mcc_pearson","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Complicate_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Complicate_cauchy - _step","Group: VaDE_Complicate_cauchy - _step__MIN","Group: VaDE_Complicate_cauchy - _step__MAX","Group: VaDE_Simple_gauss - stage1/mcc_pearson","Group: VaDE_Simple_gauss - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gauss - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gauss - _step","Group: VaDE_Simple_gauss - _step__MIN","Group: VaDE_Simple_gauss - _step__MAX","Group: VaDE_Simple_gumbel - stage1/mcc_pearson","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MIN","Group: VaDE_Simple_gumbel - stage1/mcc_pearson__MAX","Group: VaDE_Simple_gumbel - _step","Group: VaDE_Simple_gumbel - _step__MIN","Group: VaDE_Simple_gumbel - _step__MAX","Group: VaDE_Simple_cauchy - stage1/mcc_pearson","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MIN","Group: VaDE_Simple_cauchy - stage1/mcc_pearson__MAX","Group: VaDE_Simple_cauchy - _step","Group: VaDE_Simple_cauchy - _step__MIN","Group: VaDE_Simple_cauchy - _step__MAX"
"7501","0.5610155884873911","0.522738494026783","0.6357936939905631","7532","7532","7532","0.5695891875914167","0.5236235543911969","0.630992687695818","7532","7532","7532","0.24637418706966385","0.13414452975420482","0.38094832527776745","7532","7532","7532","0.8126263199009468","0.6927240083529997","0.9083395847842451","7532","7532","7532","0.7639353733727019","0.6310395819489379","0.8840561994837371","7532","7532","7532","0.37128395789961377","0.2400254637226861","0.520212831036515","7532","7532","7532"
"7751","0.5606859824416132","0.5282687954165868","0.6410130858599751","7783","7783","7783","0.5700537672386669","0.5217827524170349","0.6323693679540375","7783","7783","7783","0.22744235656233106","0.1317609508153023","0.3121934056826083","7783","7783","7783","0.8045630550620222","0.6547402792228488","0.9074040513232804","7783","7783","7783","0.7598391899708634","0.6076246749331953","0.9151113359952828","7783","7783","7783","0.39145148602597113","0.2446626029819936","0.5562742433233168","7783","7783","7783"
"8001","0.559776089472736","0.5230940278942452","0.6380366823977516","8034","8034","8034","0.5718894722595101","0.5232138532259681","0.6375758466047634","8034","8034","8034","0.18726424488533935","0.13448690918014433","0.35098680832014734","8034","8034","8034","0.8006563787543562","0.5103986962388514","0.9269096061282239","8034","8034","8034","0.7429062551531505","0.5855508772613824","0.8552509407811603","8034","8034","8034","0.3532460767594872","0.23017123910487802","0.6453042117191786","8034","8034","8034"
"8251","0.5574024441896712","0.5215536161322051","0.636420770583676","8285","8285","8285","0.571027558188687","0.528660587234725","0.6378171432124451","8285","8285","8285","0.19039843408837234","0.10795234634695525","0.298108137841819","8285","8285","8285","0.8125156587135018","0.6589399189742662","0.9393872749447642","8285","8285","8285","0.7681641686234235","0.6287014087848336","0.9200517660261579","8285","8285","8285","0.3512496041810339","0.10751018789623208","0.5370365023560358","8285","8285","8285"
"8501","0.5604772413357437","0.5287393439104893","0.6434100643087165","8536","8536","8536","0.5707440860220336","0.5188842706533264","0.6379773365795952","8536","8536","8536","0.252501842640474","0.20211146938273736","0.3111080847059655","8536","8536","8536","0.8236889465887363","0.7247953021454935","0.930930145033927","8536","8536","8536","0.7571265478413283","0.641839519782699","0.8372334567007419","8536","8536","8536","0.4191938961339746","0.1173426993481544","0.696549654090279","8536","8536","8536"
"8751","0.5586279184686173","0.5271506453148082","0.6408709742727866","8787","8787","8787","0.5717321615791768","0.5247556648628445","0.6320857562064368","8787","8787","8787","0.19332801537118602","0.13486420419563436","0.3331908852067087","8787","8787","8787","0.813961718050695","0.6079058882486884","0.9320961468932017","8787","8787","8787","0.7641768448533475","0.6235555826578186","0.9076719491106905","8787","8787","8787","0.3382687767429511","0.24782755343957255","0.4395224505225895","8787","8787","8787"
"9001","0.5593833378648572","0.5217893702442675","0.6401793927322392","9038","9038","9038","0.5718445559544424","0.5255417145130269","0.6379776590744571","9038","9038","9038","0.23618466252598322","0.11274283833702756","0.41088551606429286","9038","9038","9038","0.8322381029971042","0.7381542142289433","0.9314830240999267","9038","9038","9038","0.7611989781434196","0.6510985427237838","0.8999909498961357","9038","9038","9038","0.3412792579714833","0.10573144284517394","0.5096542588562585","9038","9038","9038"
"9251","0.5574616847188412","0.5202876836888646","0.6403684616068621","9289","9289","9289","0.5715324183777677","0.5274829836248112","0.6347887450993478","9289","9289","9289","0.1915452537137719","0.11441414358446947","0.28676784211755113","9289","9289","9289","0.7992179666224397","0.6975587341674029","0.9254842603575536","9289","9289","9289","0.7379565943229676","0.6221284214963556","0.9063240526591612","9289","9289","9289","0.34272103844582624","0.1652140363671242","0.4513877574537055","9289","9289","9289"
"9501","0.5572058478007013","0.526722640456867","0.638804500486144","9540","9540","9540","0.5708299409983626","0.5221734963384257","0.635729132209584","9540","9540","9540","0.19852500292261085","0.06442871178742","0.3085653566393035","9540","9540","9540","0.821129438882098","0.6838891291378618","0.9358455943169918","9540","9540","9540","0.7454843331815525","0.6319464374493651","0.9020085551985383","9540","9540","9540","0.3448383176219842","0.2927864360497546","0.41860652015897015","9540","9540","9540"
"9751","0.5562624522569164","0.522850105322485","0.6423662636019936","9791","9791","9791","0.5733384725015584","0.5284610814244722","0.6336970885868238","9791","9791","9791","0.21612660718868307","0.07816091482779405","0.39963336905292185","9791","9791","9791","0.810747819966456","0.670539316127552","0.9370486606950399","9791","9791","9791","0.7748217987267217","0.6337253350305035","0.8979299422134739","9791","9791","9791","0.35690195008797654","0.09893509134024576","0.5510395795790645","9791","9791","9791"
