"stage2/step","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Simple_cauchy - _step","Group: Ours_MSE_Simple_cauchy - _step__MIN","Group: Ours_MSE_Simple_cauchy - _step__MAX","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_MSE_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_MSE_Complicate_cauchy - _step","Group: Ours_MSE_Complicate_cauchy - _step__MIN","Group: Ours_MSE_Complicate_cauchy - _step__MAX","Group: Ours_Simple_cauchy - stage2/mcc_spearman","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Simple_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Simple_cauchy - _step","Group: Ours_Simple_cauchy - _step__MIN","Group: Ours_Simple_cauchy - _step__MAX","Group: Ours_Complicate_cauchy - stage2/mcc_spearman","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MIN","Group: Ours_Complicate_cauchy - stage2/mcc_spearman__MAX","Group: Ours_Complicate_cauchy - _step","Group: Ours_Complicate_cauchy - _step__MIN","Group: Ours_Complicate_cauchy - _step__MAX"
"11501","0.5655286410781337","0.44355434203533584","0.6367122266062029","31686","31686","31686","0.24652962375282486","0.2044495558657487","0.3022862012904279","31685.2","31684","31686","0.6895783444992696","0.5682291440787534","0.7591379919061833","31686","31686","31686","0.505534812709994","0.43653166263136234","0.5971312362004704","31685.2","31684","31686"
"11751","0.5637948984245699","0.4480959044721516","0.6398305557846556","31939","31939","31939","0.23960957850841907","0.10800917571692241","0.3076600699214528","31938.2","31937","31939","0.6800138558054455","0.5687158441983446","0.7608105183362733","31939","31939","31939","0.5004047246145624","0.43811569908219117","0.5953615833354837","31938.2","31937","31939"
"12001","0.5641858854255979","0.4529282531775733","0.6384640745530002","32192","32192","32192","0.2413836376902056","0.13549314991408914","0.30738214660446095","32191.2","32190","32192","0.6843591658130382","0.5746245305162846","0.7636730763950959","32192","32192","32192","0.5038906710854821","0.4452714646646931","0.5958695476651441","32191.2","32190","32192"
"12251","0.5664020927634102","0.45258721681954706","0.6394245780472446","32445","32445","32445","0.24619665062553825","0.15985642427230104","0.31438739871828547","32444.2","32443","32445","0.6816427037278527","0.5800282709408336","0.7595053006416442","32445","32445","32445","0.5022167507322285","0.4348682323884391","0.5956431196075088","32444.2","32443","32445"
"12501","0.5620865713614736","0.46203262845747806","0.6404081957850827","32698","32698","32698","0.24934289752489308","0.18924537059177107","0.3021134914190683","32697.2","32696","32698","0.6833436987517684","0.5818071242977406","0.7570619980486505","32698","32698","32698","0.5074018715928378","0.44265163895208104","0.6014667466028122","32697.2","32696","32698"
"12751","0.564837880519217","0.4728047958420963","0.6430978912383415","32951","32951","32951","0.2478886934898344","0.18594424218571096","0.30218609256462925","32950.2","32949","32951","0.6831565381873851","0.5851293842516415","0.7591564827471674","32951","32951","32951","0.50752842808738","0.43615134995376054","0.5996083583074165","32950.2","32949","32951"
"13001","0.5602596735753219","0.4775805593959756","0.6401859535276962","33204","33204","33204","0.2513689886652935","0.20536835031509565","0.2940878209447805","33203.2","33202","33204","0.6837203191626031","0.5878555293202283","0.7598672400580361","33204","33204","33204","0.5035846588237679","0.44023324721093965","0.5948558223212974","33203.2","33202","33204"
"13251","0.566962097276762","0.47946133804002694","0.6389403012984757","33457","33457","33457","0.2517633093024642","0.20873839411156198","0.29621226480246715","33456.2","33455","33457","0.6827758597175062","0.590810335012708","0.7594150339562128","33457","33457","33457","0.5056110928402618","0.433803394902462","0.5900177400185912","33456.2","33455","33457"
"13501","0.5645132065127919","0.4748443819014952","0.6405444586361346","33710","33710","33710","0.24195781992706666","0.17957823455559518","0.3020500896744923","33709.2","33708","33710","0.683850760364902","0.5947585363207942","0.7583700381235166","33710","33710","33710","0.5067259339280146","0.4387854435001278","0.5998874084742132","33709.2","33708","33710"
"13751","0.5722430164282013","0.513691677379052","0.6414701423788812","33963","33963","33963","0.24831911708262377","0.20525333938670184","0.3010649112257434","33962.2","33961","33963","0.6855575477851941","0.596820288577853","0.7614699568495903","33963","33963","33963","0.5061048407801583","0.44704360067324495","0.584428250332571","33962.2","33961","33963"
