"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_spearman","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_spearman__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_spearman","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Danru_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_spearman","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MIN","Group: Ours_Complicate_gauss - stage2/mcc_spearman__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"8751","0.3344406407828574","0.2928085775155213","0.40585590780951575","18902","18902","18902","0.46176894915152733","0.24282397889117782","0.5115726117858599","28902.4","28901","28903","0.6754969001791253","0.5358761551875271","0.8299899617106721","28902.2","28901","28903"
"9001","0.33342668169232886","0.2604919857233851","0.3829570582108815","19155","19155","19155","0.4715281358578779","0.24629233127864683","0.5164457341233991","29155.4","29154","29156","0.6793231043121873","0.536457588140441","0.8294167507544781","29155.2","29154","29156"
"9251","0.32313079280695717","0.25622194546985366","0.38201775172395136","19408","19408","19408","0.47608855376207393","0.2441565572241557","0.5281326866758428","29408.4","29407","29409","0.6822517307207547","0.538205498496143","0.8320586583754","29408.2","29407","29409"
"9501","0.3363292766059623","0.28540543426345244","0.42173931620146304","19661","19661","19661","0.4825656847779821","0.24927387862572745","0.5293836368154048","29661.4","29660","29662","0.6836909395537908","0.539902485461282","0.8329168314510109","29661.2","29660","29662"
"9751","0.3354009224513027","0.2742123731366536","0.39599318978390435","19914","19914","19914","0.48678295550715783","0.25931785598793383","0.5327531062429983","29914.4","29913","29915","0.6864846297253242","0.5405683440748767","0.8335326145363007","29914.2","29913","29915"
"10001","0.3246474367193214","0.26560644301080855","0.39078157216908893","20167","20167","20167","0.4874874362259195","0.25824926500313994","0.5303981092900907","30167.4","30166","30168","0.6899816702574513","0.5449696439921153","0.8377787317369263","30167.2","30166","30168"
"10251","0.30592238622437506","0.24590369169160575","0.35561608977538317","20420","20420","20420","0.491619284886003","0.2598027682419213","0.5363091933530042","30420.4","30419","30421","0.6905832565528478","0.5417545681961208","0.8394133388720171","30420.2","30419","30421"
"10501","0.31276261899396324","0.24318432395084505","0.3540969135948092","20673","20673","20673","0.49262491644062123","0.26234243930343154","0.5460408862273572","30673.4","30672","30674","0.6928771938119676","0.5447402655932227","0.8373810908668686","30673.2","30672","30674"
"10751","0.3123273594608857","0.2680173115059473","0.3856491121438819","20926","20926","20926","0.4862252749039354","0.2701346919323716","0.5361430287964457","30926.4","30925","30927","0.6962845720597517","0.5426361386783252","0.8408685686453039","30926.2","30925","30927"
"11001","0.29484865149992634","0.2460478301412011","0.35575648333673493","21179","21179","21179","0.4777283375794659","0.25997170791036595","0.5464472238607347","31179.4","31178","31180","0.6991467048153956","0.5475168480702741","0.8424227458127254","31179.2","31178","31180"
"11251","0.32022514645904626","0.2495048318229324","0.39908155875485","21432","21432","21432","0.46440669269738794","0.2760597987098143","0.5444968585175668","31432.4","31431","31433","0.6997721774475923","0.5476556488991529","0.8425018294747126","31432.2","31431","31433"
"11501","0.3028008464475498","0.2265698383864104","0.3405948803269006","21685","21685","21685","0.47159862371503253","0.2906718180674571","0.550698935303859","31685.4","31684","31686","0.7033561345927797","0.5478694442760539","0.8455506614775514","31685.2","31684","31686"
"11751","0.3086978126332022","0.269248937182184","0.36268441122927086","21938","21938","21938","0.47260693754398425","0.30874689165868247","0.5318165268837028","31938.4","31937","31939","0.7064387273152748","0.5572789154815958","0.8451576453936962","31938.2","31937","31939"
"12001","0.3160801479007685","0.25193211015998224","0.3639758870486963","22191","22191","22191","0.4760297094715858","0.335504684521026","0.5344935557378298","32191.4","32190","32192","0.7070481020351798","0.5502099124526112","0.8439196740201375","32191.2","32190","32192"
"12251","0.30357852084565795","0.25231350132947006","0.37788170184200653","22444","22444","22444","0.484389132306655","0.33889906792607205","0.535290519694055","32444.4","32443","32445","0.7094888043809531","0.5538280051450536","0.8457731024027485","32444.2","32443","32445"
