"stage2/step","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gumbel - _step","Group: VaDE_Complicate_gumbel - _step__MIN","Group: VaDE_Complicate_gumbel - _step__MAX","Group: Danru_Complicate_gumbel - stage2/mcc_pearson","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gumbel - _step","Group: Danru_Complicate_gumbel - _step__MIN","Group: Danru_Complicate_gumbel - _step__MAX","Group: Ours_Complicate_gumbel - stage2/mcc_pearson","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gumbel - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gumbel - _step","Group: Ours_Complicate_gumbel - _step__MIN","Group: Ours_Complicate_gumbel - _step__MAX"
"7501","0.3149390923435156","0.25567463422760955","0.4113568868877812","17637","17637","17637","0.42448409499770773","0.31292668641334787","0.6383781687869152","27637.4","27636","27638","0.7838133600995164","0.6663507174990259","0.8645424469751722","27637.2","27636","27638"
"7751","0.3118325997814487","0.2452022177506891","0.4120724009049336","17890","17890","17890","0.42431182312825716","0.28331621988744804","0.6370881256482568","27890.4","27889","27891","0.786976243083768","0.6648643159239398","0.8715516426301523","27890.2","27889","27891"
"8001","0.30423403450696085","0.22484776174179313","0.4161656488135287","18143","18143","18143","0.41244460431174856","0.2918428199613351","0.5489202382767215","28143.4","28142","28144","0.7913501003998105","0.6633313137507073","0.8779904546936319","28143.2","28142","28144"
"8251","0.30983631773354225","0.26250839705166473","0.40314734359202387","18396","18396","18396","0.4152770297336502","0.27749421894262394","0.5776422697298842","28396.4","28395","28397","0.7951197878016665","0.663684993360007","0.8865506037073463","28396.2","28395","28397"
"8501","0.3063965128000752","0.2268383841841212","0.3973700709806492","18649","18649","18649","0.41048826262251453","0.2750654975701939","0.5948084806370881","28649.4","28648","28650","0.800008149347039","0.6695529133781395","0.8841267239914821","28649.2","28648","28650"
"8751","0.31061947337584583","0.26940682994537124","0.3622500121011428","18902","18902","18902","0.41703615696467145","0.26730861258774746","0.6162497602060062","28902.4","28901","28903","0.8025150052733883","0.6698292485422626","0.8974543513138462","28902.2","28901","28903"
"9001","0.28917980376504904","0.2320371472920534","0.3317427809081036","19155","19155","19155","0.4245585716737302","0.2778667762220851","0.6314774568812661","29155.4","29154","29156","0.8073524485652218","0.6760860014297551","0.9046780440965811","29155.2","29154","29156"
"9251","0.29407565483101156","0.2566139232773783","0.36398611028762196","19408","19408","19408","0.4255380457976985","0.28500655013814313","0.6418508755830328","29408.4","29407","29409","0.8105740292389184","0.6780278865777225","0.9126037680943195","29408.2","29407","29409"
"9501","0.2990279026655368","0.23485550752423498","0.3518636592145953","19661","19661","19661","0.43406068241979767","0.29248314791041313","0.6610381089021308","29661.4","29660","29662","0.8132730850124492","0.6773849585329182","0.9158743860884231","29661.2","29660","29662"
"9751","0.28902051853258376","0.23774826073511007","0.3493120844183009","19914","19914","19914","0.4483003643453756","0.2970421758530464","0.6897164049473357","29914.4","29913","29915","0.8154672413154211","0.6788308114643751","0.9152011876791232","29914.2","29913","29915"
