"stage2/step","Group: VaDE_Complicate_gauss - stage2/mcc_pearson","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MIN","Group: VaDE_Complicate_gauss - stage2/mcc_pearson__MAX","Group: VaDE_Complicate_gauss - _step","Group: VaDE_Complicate_gauss - _step__MIN","Group: VaDE_Complicate_gauss - _step__MAX","Group: Danru_Complicate_gauss - stage2/mcc_pearson","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Danru_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Danru_Complicate_gauss - _step","Group: Danru_Complicate_gauss - _step__MIN","Group: Danru_Complicate_gauss - _step__MAX","Group: Ours_Complicate_gauss - stage2/mcc_pearson","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MIN","Group: Ours_Complicate_gauss - stage2/mcc_pearson__MAX","Group: Ours_Complicate_gauss - _step","Group: Ours_Complicate_gauss - _step__MIN","Group: Ours_Complicate_gauss - _step__MAX"
"20751","0.15787063989699102","0.11047485073977156","0.21540868246939","31046","31046","31046","0.6162436216144875","0.5229604294158106","0.8063302918329258","41046.4","41045","41047","0.8510299181601051","0.7152352224123059","0.9524020187166686","41046.2","41045","41047"
"21001","0.1523072536543555","0.10456358171727602","0.1911569713406222","31299","31299","31299","0.6139992448824358","0.5239958077600229","0.8141494806042043","41299.4","41298","41300","0.8523172416119188","0.7192403046739833","0.9508979607010687","41299.2","41298","41300"
"21251","0.1498694972654428","0.09864768867221729","0.23127659109155188","31552","31552","31552","0.6177396662235413","0.5240921838908205","0.8188675472541602","41552.4","41551","41553","0.8528846056734561","0.7233353630288714","0.9498841872617991","41552.2","41551","41553"
"21501","0.14368933035530151","0.10462895935514172","0.18009233575700057","31805","31805","31805","0.6235611050404156","0.5290324657843921","0.8262691862833345","41805.4","41804","41806","0.8539007568502169","0.7240655123703122","0.9534200397766718","41805.2","41804","41806"
"21751","0.14080066814091305","0.0881772515547287","0.2058414201545411","32058","32058","32058","0.6325925967970739","0.5307423520646284","0.8313199626840062","42058.4","42057","42059","0.8558019066767499","0.7198618284956848","0.9512180036562983","42058.2","42057","42059"
"22001","0.15309539100108624","0.12021099379564495","0.19294142108360962","32311","32311","32311","0.6285645722445621","0.5371805211145877","0.8339209175992988","42311.4","42310","42312","0.8563271080295923","0.7278283213857599","0.952448980865144","42311.2","42310","42312"
"22251","0.1434609405222843","0.0994430752805052","0.20696810529638737","32564","32564","32564","0.6238195128489703","0.5423327072060229","0.8387597302507359","42564.4","42563","42565","0.8591932714182855","0.7345843139600079","0.9520145594610888","42564.2","42563","42565"
"22501","0.15320223465862282","0.09947153519669347","0.22943490892562157","32817","32817","32817","0.6357616218324995","0.5464492019773302","0.8421994664277014","42817.4","42816","42818","0.8596279784972921","0.7348495490585887","0.9523289287498461","42817.2","42816","42818"
"22751","0.15225606712934373","0.10411408428479862","0.22723533090149156","33070","33070","33070","0.6404139723238813","0.5570054815767216","0.8444762511245371","43070.4","43069","43071","0.8621565664617442","0.7422446535827182","0.9536688420291884","43070.2","43069","43071"
"23001","0.15939352518400268","0.10508067390016847","0.24799716372606198","33323","33323","33323","0.6437428661816181","0.554315229420339","0.8550443341269997","43323.4","43322","43324","0.86219768257546","0.7442412516036292","0.9523436803437452","43323.2","43322","43324"
